"id","admission_threshold","cache_size","cms_delta","cms_epsilon","default_latency","latency_utility","model","policy","protected_fraction","request_count","size_utility","tau","tiny_window_size","window_size","expected_count","run_id","config_id","created_at","finished_at","stats_json","timing_json"
"1","","10000000","","","","",docker-registry-processed,two-segment,"0.1","1000000","","","","","1",cafa93f7-8301-4c3c-9e3d-a5ee973bfd62,"1",1771005508.2858598,1771005559.0830538,"{""hits"":662832,""misses"":337168,""accesses"":1000000,""current_size"":9543064,""max_size"":10000000,""hit_object_size_sum"":51089670335,""hit_response_time_sum"":652210.4040825823,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":50.64,""system_time"":0.06,""elapsed_time"":50.73,""max_rss"":40128,""exit_code"":0,""cpu_percent"":""99""}"
"2","","10000000","","","","",docker-registry-processed,two-segment,"0.2","1000000","","","","","1",e5ac1505-768c-46bf-83ee-2192ac3b7621,"2",1771013788.0367792,1771013838.7623088,"{""hits"":662533,""misses"":337467,""accesses"":1000000,""current_size"":9543215,""max_size"":10000000,""hit_object_size_sum"":51063474883,""hit_response_time_sum"":652183.6383557434,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":50.55,""system_time"":0.08,""elapsed_time"":50.66,""max_rss"":40472,""exit_code"":0,""cpu_percent"":""99""}"
"3","","10000000","","","","",docker-registry-processed,two-segment,"0.3","1000000","","","","","1","8d2f03b2-9389-40bc-ac56-55b20439ad73","3",1771010818.1354127,1771010875.3725283,"{""hits"":662627,""misses"":337373,""accesses"":1000000,""current_size"":9543215,""max_size"":10000000,""hit_object_size_sum"":51078172493,""hit_response_time_sum"":652057.360462981,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":57.03,""system_time"":0.05,""elapsed_time"":57.17,""max_rss"":41040,""exit_code"":0,""cpu_percent"":""99""}"
"4","","10000000","","","","",docker-registry-processed,two-segment,"0.4","1000000","","","","","1",f8846595-fc4d-4249-908f-c3fa878543e2,"4",1771007398.4726202,1771007450.6508136,"{""hits"":662651,""misses"":337349,""accesses"":1000000,""current_size"":9543215,""max_size"":10000000,""hit_object_size_sum"":51096626287,""hit_response_time_sum"":652271.6914230075,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":52.03,""system_time"":0.07,""elapsed_time"":52.12,""max_rss"":41388,""exit_code"":0,""cpu_percent"":""99""}"
"5","","10000000","","","","",docker-registry-processed,two-segment,"0.5","1000000","","","","","1","7d9f8c8a-4069-48eb-92f1-5fa181a2e86b","5",1771014177.216496,1771014227.697907,"{""hits"":662815,""misses"":337185,""accesses"":1000000,""current_size"":9543215,""max_size"":10000000,""hit_object_size_sum"":51082936013,""hit_response_time_sum"":652428.4635310646,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":50.34,""system_time"":0.06,""elapsed_time"":50.42,""max_rss"":39340,""exit_code"":0,""cpu_percent"":""99""}"
"6","","10000000","","","","",docker-registry-processed,two-segment,"0.6","1000000","","","","","1","4d934cd2-2faa-4cbe-8475-4078c82f7a2b","6",1771010678.079919,1771010737.1917536,"{""hits"":662967,""misses"":337033,""accesses"":1000000,""current_size"":9543215,""max_size"":10000000,""hit_object_size_sum"":51179086219,""hit_response_time_sum"":652664.2718115007,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":58.97,""system_time"":0.03,""elapsed_time"":59.04,""max_rss"":39444,""exit_code"":0,""cpu_percent"":""99""}"
"7","","10000000","","","","",docker-registry-processed,two-segment,"0.7","1000000","","","","","1","0a20e61b-830a-4ea3-b37c-ac94ea6a4d30","7",1771014957.8601925,1771015008.4829192,"{""hits"":662928,""misses"":337072,""accesses"":1000000,""current_size"":9543215,""max_size"":10000000,""hit_object_size_sum"":51199230267,""hit_response_time_sum"":652772.5538566873,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":50.48,""system_time"":0.06,""elapsed_time"":50.56,""max_rss"":39576,""exit_code"":0,""cpu_percent"":""99""}"
"8","","10000000","","","","",docker-registry-processed,two-segment,"0.8","1000000","","","","","1","52a37ff3-e64e-40c0-be45-1d1079fb200f","8",1771009186.5382507,1771009238.7661917,"{""hits"":662817,""misses"":337183,""accesses"":1000000,""current_size"":9543215,""max_size"":10000000,""hit_object_size_sum"":51142411272,""hit_response_time_sum"":652683.4149922489,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":51.92,""system_time"":0.05,""elapsed_time"":52.03,""max_rss"":39584,""exit_code"":0,""cpu_percent"":""99""}"
"9","","10000000","","","","",docker-registry-processed,two-segment,"0.9","1000000","","","","","1","39fbdb52-c32f-4b93-906d-a69abeb74c99","9",1771005160.0187314,1771005212.5391157,"{""hits"":662826,""misses"":337174,""accesses"":1000000,""current_size"":9543215,""max_size"":10000000,""hit_object_size_sum"":51143175809,""hit_response_time_sum"":652715.6160029704,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":52.36,""system_time"":0.06,""elapsed_time"":52.45,""max_rss"":39600,""exit_code"":0,""cpu_percent"":""99""}"
"10","","10000000","","","","",docker-registry-processed,tiny-lfu-byte,"","1000000","","","100","","1",c6d5e392-cc62-4fb9-be2b-d5b431827a13,"10",1771012578.8640883,1771015037.4519699,"{""hits"":797401,""misses"":202599,""accesses"":1000000,""current_size"":9912878,""max_size"":10000000,""hit_object_size_sum"":58675844292,""hit_response_time_sum"":912297.4819564641,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":2456.31,""system_time"":0.15,""elapsed_time"":2458.38,""max_rss"":104344,""exit_code"":0,""cpu_percent"":""99""}"
"11","","10000000","","","","",docker-registry-processed,tiny-lfu-byte,"","1000000","","","1000","","1","3b6ab146-2f3d-4679-9ede-3ff0cddd8c0a","11",1771013988.495584,1771016141.221002,"{""hits"":802253,""misses"":197747,""accesses"":1000000,""current_size"":9921415,""max_size"":10000000,""hit_object_size_sum"":55810195544,""hit_response_time_sum"":919029.4246898198,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":2151.45,""system_time"":0.24,""elapsed_time"":2152.54,""max_rss"":104108,""exit_code"":0,""cpu_percent"":""99""}"
"12","","10000000","","","","",docker-registry-processed,tiny-lfu-byte,"","1000000","","","10000","","1",d3fc29d5-1432-42fd-95f5-e0045d5fb542,"12",1771005320.5168426,1771008384.1035805,"{""hits"":801784,""misses"":198216,""accesses"":1000000,""current_size"":9462418,""max_size"":10000000,""hit_object_size_sum"":54544125942,""hit_response_time_sum"":915904.8775393112,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":3062.23,""system_time"":0.19,""elapsed_time"":3063.52,""max_rss"":106480,""exit_code"":0,""cpu_percent"":""99""}"
"13","","10000000","","","","",docker-registry-processed,tiny-lfu-byte,"","1000000","","","100000","","1","348ab854-109c-480e-b713-d7c74c0d2812","13",1771014804.3728795,1771018056.2764997,"{""hits"":801407,""misses"":198593,""accesses"":1000000,""current_size"":9997766,""max_size"":10000000,""hit_object_size_sum"":54925514285,""hit_response_time_sum"":916170.7098861614,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":3248.06,""system_time"":0.39,""elapsed_time"":3251.75,""max_rss"":106884,""exit_code"":0,""cpu_percent"":""99""}"
"14","","10000000","","","","",docker-registry-processed,tiny-lfu-byte,"","1000000","","","1000000","","1",edc77c67-c561-4ff4-8f28-80337e912669,"14",1771009414.0731795,1771011991.591281,"{""hits"":800232,""misses"":199768,""accesses"":1000000,""current_size"":9735247,""max_size"":10000000,""hit_object_size_sum"":54722845756,""hit_response_time_sum"":915418.6482325736,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":2576.11,""system_time"":0.21,""elapsed_time"":2577.45,""max_rss"":106164,""exit_code"":0,""cpu_percent"":""99""}"
"15","","10000000","","","","",docker-registry-processed,lru,"","1000000","","","","","1",d0f1c014-447d-4ee3-9fc6-f91be6aa0645,"15",1771014816.2056384,1771014863.0775273,"{""hits"":671710,""misses"":328290,""accesses"":1000000,""current_size"":5245414,""max_size"":10000000,""hit_object_size_sum"":52003944532,""hit_response_time_sum"":660785.6710237121,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":46.74,""system_time"":0.05,""elapsed_time"":46.81,""max_rss"":37624,""exit_code"":0,""cpu_percent"":""99""}"
"16","","10000000","","","","",docker-registry-processed,lfu-sliding,"","1000000","","","","100","1","2b7d774d-9771-488b-9732-723235bbbd08","16",1771006512.9605107,1771006586.1600761,"{""hits"":729209,""misses"":270791,""accesses"":1000000,""current_size"":9938523,""max_size"":10000000,""hit_object_size_sum"":52816384083,""hit_response_time_sum"":777818.6169280082,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":73.01,""system_time"":0.1,""elapsed_time"":73.14,""max_rss"":56472,""exit_code"":0,""cpu_percent"":""99""}"
"17","","10000000","","","","",docker-registry-processed,lfu-sliding,"","1000000","","","","1000","1",f0de2479-9b6d-4814-b698-79b340c0bf2f,"17",1771005155.6103148,1771005232.2141018,"{""hits"":736780,""misses"":263220,""accesses"":1000000,""current_size"":9736789,""max_size"":10000000,""hit_object_size_sum"":53388034545,""hit_response_time_sum"":791685.7315428292,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":76.48,""system_time"":0.04,""elapsed_time"":76.54,""max_rss"":57576,""exit_code"":0,""cpu_percent"":""99""}"
"18","","10000000","","","","",docker-registry-processed,lfu-sliding,"","1000000","","","","10000","1",fb281541-f4e3-4564-8556-1f1f2e27ed9a,"18",1771010460.0607305,1771010542.4331093,"{""hits"":737463,""misses"":262537,""accesses"":1000000,""current_size"":9862944,""max_size"":10000000,""hit_object_size_sum"":53608376595,""hit_response_time_sum"":793402.7025218356,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":82.04,""system_time"":0.13,""elapsed_time"":82.3,""max_rss"":58928,""exit_code"":0,""cpu_percent"":""99""}"
"19","","10000000","","","","",docker-registry-processed,lfu-sliding,"","1000000","","","","100000","1","777dc001-8fab-47d2-8fe0-777949834cbe","19",1771015431.562737,1771015505.3448195,"{""hits"":736901,""misses"":263099,""accesses"":1000000,""current_size"":5145329,""max_size"":10000000,""hit_object_size_sum"":53697382920,""hit_response_time_sum"":791289.4037038753,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":73.61,""system_time"":0.07,""elapsed_time"":73.72,""max_rss"":62264,""exit_code"":0,""cpu_percent"":""99""}"
"20","","10000000","","","","",docker-registry-processed,lfu-sliding,"","1000000","","","","1000000","1","216c010d-5d3b-4290-947f-9888807e7a65","20",1771012278.4646199,1771012359.1647794,"{""hits"":741535,""misses"":258465,""accesses"":1000000,""current_size"":5312565,""max_size"":10000000,""hit_object_size_sum"":53536858231,""hit_response_time_sum"":799535.8995038759,""object_size_sum"":3702116498865,""response_time_sum"":1252669.805715957}","{""user_time"":80.36,""system_time"":0.06,""elapsed_time"":80.51,""max_rss"":77888,""exit_code"":0,""cpu_percent"":""99""}"
"21","","10000000","","","1",freq_over_size_times_latency,docker-registry-processed,lfu-latency-byte,"","1000000","","","","","1",e9f550e2-5706-4074-88e0-a4166a04a07f,"21",1771010501.7880182,1771014102.4554138,{},"{""user_time"":3597.78,""system_time"":0.31,""elapsed_time"":3600.0,""max_rss"":57400,""exit_code"":124,""cpu_percent"":""99""}"
