id,admission_threshold,cache_size,cms_delta,cms_epsilon,default_latency,latency_utility,model,policy,protected_fraction,request_count,size_utility,tau,tiny_window_size,window_size
59,3,10000000,1.00E-07,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
60,3,10000000,1.00E-06,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
61,3,10000000,1.00E-05,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
62,3,10000000,1.00E-04,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
63,3,10000000,1.00E-03,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
64,3,10000000,1.00E-02,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
65,3,10000000,1.00E-07,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
66,3,10000000,1.00E-06,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
67,3,10000000,1.00E-05,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
68,3,10000000,1.00E-04,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
69,3,10000000,1.00E-03,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
70,3,10000000,1.00E-02,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
71,4,10000000,1.00E-06,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
72,4,10000000,1.00E-05,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
73,4,10000000,1.00E-04,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
74,4,10000000,1.00E-03,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
75,4,10000000,1.00E-02,0.001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
76,4,10000000,1.00E-07,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
77,4,10000000,1.00E-06,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
78,4,10000000,1.00E-05,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
79,4,10000000,1.00E-04,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
80,4,10000000,1.00E-03,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
81,4,10000000,1.00E-02,0.01,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
82,4,10000000,1.00E-07,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
83,4,10000000,1.00E-06,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
84,4,10000000,1.00E-05,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
85,4,10000000,1.00E-04,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
86,4,10000000,1.00E-03,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
87,4,10000000,1.00E-02,0.1,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
88,4,10000000,1.00E-07,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
89,4,10000000,1.00E-06,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
90,4,10000000,1.00E-05,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
91,4,10000000,1.00E-04,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
92,4,10000000,1.00E-03,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
93,4,10000000,1.00E-02,0.0001,,,docker-registry-processed,lfu-doorkeeper,,1000000,,,,
94,,10000000,,,,,docker-registry-processed,lfu-byte,,1000000,freq_over_size,,,
95,,10000000,,,,,docker-registry-processed,lfu-byte,,1000000,freq_times_size,,,
96,,10000000,,,,,docker-registry-processed,lfu-aging,,1000000,,100,,
97,,10000000,,,,,docker-registry-processed,lfu-aging,,1000000,,1000,,
98,,10000000,,,,,docker-registry-processed,lfu-aging,,1000000,,10000,,
99,,10000000,,,,,docker-registry-processed,lfu-aging,,1000000,,100000,,
100,,10000000,,,,,docker-registry-processed,lfu-aging,,1000000,,1000000,,
