"id","admission_threshold","cache_size","cms_delta","cms_epsilon","default_latency","latency_utility","model","policy","protected_fraction","request_count","size_utility","tau","tiny_window_size","window_size","expected_count","run_id","config_id","created_at","finished_at","stats_json","timing_json"
"1","","10000000","","","","",docker-registry-processed,two-segment,"0.1","1000000","","","","","1","8c198e4b-0bd0-4778-993c-2e4d30f13c3c","1",1770825581.4594097,1770825635.4769437,"{""hits"":656703,""misses"":343297,""accesses"":1000000,""current_size"":7354189,""max_size"":10000000,""hit_object_size_sum"":45601117874,""hit_response_time_sum"":675824.4755059707,""object_size_sum"":3702116498865,""response_time_sum"":1252669.8057159493}","{""user_time"":53.66,""system_time"":0.09,""elapsed_time"":53.81,""max_rss"":36372,""exit_code"":0,""cpu_percent"":""99""}"
"2","","10000000","","","","",docker-registry-processed,two-segment,"0.2","1000000","","","","","1","94f18689-bf66-41b9-8e9f-107d81f5dd60","2",1770833155.6625366,1770833211.2512577,"{""hits"":656516,""misses"":343484,""accesses"":1000000,""current_size"":7354189,""max_size"":10000000,""hit_object_size_sum"":45751570834,""hit_response_time_sum"":675711.7090776707,""object_size_sum"":3702116498865,""response_time_sum"":1252669.8057159493}","{""user_time"":55.09,""system_time"":0.21,""elapsed_time"":55.43,""max_rss"":36552,""exit_code"":0,""cpu_percent"":""99""}"
"3","","10000000","","","","",docker-registry-processed,two-segment,"0.3","1000000","","","","","1","860499b3-0c4c-47db-848d-1c8004bbc91b","3",1770843595.175209,1770843670.9184725,"{""hits"":656875,""misses"":343125,""accesses"":1000000,""current_size"":7354189,""max_size"":10000000,""hit_object_size_sum"":45832349402,""hit_response_time_sum"":675483.9799843602,""object_size_sum"":3702116498865,""response_time_sum"":1252669.8057159493}","{""user_time"":75.56,""system_time"":0.09,""elapsed_time"":75.68,""max_rss"":36756,""exit_code"":0,""cpu_percent"":""99""}"
"4","","10000000","","","","",docker-registry-processed,two-segment,"0.4","1000000","","","","","1","54eaa6fa-81db-4fed-9ffd-c9a0ec2422f8","4",1770829429.606309,1770829485.123547,"{""hits"":657281,""misses"":342719,""accesses"":1000000,""current_size"":7354189,""max_size"":10000000,""hit_object_size_sum"":45865883159,""hit_response_time_sum"":675993.3732829675,""object_size_sum"":3702116498865,""response_time_sum"":1252669.8057159493}","{""user_time"":55.18,""system_time"":0.12,""elapsed_time"":55.35,""max_rss"":36696,""exit_code"":0,""cpu_percent"":""99""}"
"5","","10000000","","","","",docker-registry-processed,two-segment,"0.5","1000000","","","","","1",f7671571-c9aa-4f72-b013-5961ac88a22d,"5",1770825613.9494736,1770825673.7737203,"{""hits"":657658,""misses"":342342,""accesses"":1000000,""current_size"":7354189,""max_size"":10000000,""hit_object_size_sum"":45909264082,""hit_response_time_sum"":676650.9568463833,""object_size_sum"":3702116498865,""response_time_sum"":1252669.8057159493}","{""user_time"":59.59,""system_time"":0.13,""elapsed_time"":59.77,""max_rss"":38816,""exit_code"":0,""cpu_percent"":""99""}"
"6","","10000000","","","","",docker-registry-processed,two-segment,"0.6","1000000","","","","","1","7ca00a74-288c-4cb6-8e2c-4d89a31b73c5","6",1770835370.144481,1770835437.0966551,"{""hits"":657639,""misses"":342361,""accesses"":1000000,""current_size"":7354189,""max_size"":10000000,""hit_object_size_sum"":45907673708,""hit_response_time_sum"":676602.4385894313,""object_size_sum"":3702116498865,""response_time_sum"":1252669.8057159493}","{""user_time"":66.65,""system_time"":0.07,""elapsed_time"":66.76,""max_rss"":36708,""exit_code"":0,""cpu_percent"":""99""}"
"7","","10000000","","","","",docker-registry-processed,two-segment,"0.7","1000000","","","","","1","2eed8ea1-e0f6-42ea-93b2-921c0d04a7c7","7",1770836442.7284863,1770836501.0874796,"{""hits"":657597,""misses"":342403,""accesses"":1000000,""current_size"":7354189,""max_size"":10000000,""hit_object_size_sum"":45910960776,""hit_response_time_sum"":676585.5145072803,""object_size_sum"":3702116498865,""response_time_sum"":1252669.8057159493}","{""user_time"":58.02,""system_time"":0.23,""elapsed_time"":58.3,""max_rss"":38792,""exit_code"":0,""cpu_percent"":""99""}"
"8","","10000000","","","","",docker-registry-processed,two-segment,"0.8","1000000","","","","","1",b024eea0-7c0f-4b03-bb86-cf8b74077737,"8",1770826959.11036,1770827026.3961093,"{""hits"":657635,""misses"":342365,""accesses"":1000000,""current_size"":7354189,""max_size"":10000000,""hit_object_size_sum"":45908369887,""hit_response_time_sum"":676621.9441846848,""object_size_sum"":3702116498865,""response_time_sum"":1252669.8057159493}","{""user_time"":67.01,""system_time"":0.04,""elapsed_time"":67.09,""max_rss"":36732,""exit_code"":0,""cpu_percent"":""99""}"
"9","","10000000","","","","",docker-registry-processed,two-segment,"0.9","1000000","","","","","1",bfe2f3ac-d126-40ac-8b2d-1346333976c7,"9",1770836902.1176348,1770836964.4536843,"{""hits"":657605,""misses"":342395,""accesses"":1000000,""current_size"":7354189,""max_size"":10000000,""hit_object_size_sum"":45911536413,""hit_response_time_sum"":676615.9486406146,""object_size_sum"":3702116498865,""response_time_sum"":1252669.8057159493}","{""user_time"":62.07,""system_time"":0.06,""elapsed_time"":62.15,""max_rss"":37960,""exit_code"":0,""cpu_percent"":""99""}"
"10","","10000000","","","","",docker-registry-processed,tiny-lfu-byte,"","1000000","","","100","","1","16eddf9c-7af4-4215-b45a-f7521d3b0577","10",1770825755.355321,1770828013.9487278,"{""hits"":777774,""misses"":222226,""accesses"":1000000,""current_size"":7334980,""max_size"":10000000,""hit_object_size_sum"":56614303099,""hit_response_time_sum"":887768.2901441919,""object_size_sum"":3702116498865,""response_time_sum"":1252669.8057159493}","{""user_time"":2256.9,""system_time"":0.2,""elapsed_time"":2258.52,""max_rss"":106840,""exit_code"":0,""cpu_percent"":""99""}"
